Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (Â°C),Quality
IDCJAC0004,086282,1997,08,5.1,Y
IDCJAC0004,086282,1997,09,6.7,Y
IDCJAC0004,086282,1997,10,8.8,Y
IDCJAC0004,086282,1997,11,10.7,Y
IDCJAC0004,086282,1997,12,12.3,Y
IDCJAC0004,086282,1998,01,14.3,Y
IDCJAC0004,086282,1998,02,12.9,Y
IDCJAC0004,086282,1998,03,12.2,Y
IDCJAC0004,086282,1998,04,9.2,Y
IDCJAC0004,086282,1998,05,8.2,Y
IDCJAC0004,086282,1998,06,6.0,Y
IDCJAC0004,086282,1998,07,4.5,Y
IDCJAC0004,086282,1998,08,5.8,Y
IDCJAC0004,086282,1998,09,8.2,Y
IDCJAC0004,086282,1998,10,8.0,Y
IDCJAC0004,086282,1998,11,9.0,Y
IDCJAC0004,086282,1998,12,12.5,Y
IDCJAC0004,086282,1999,01,14.9,Y
IDCJAC0004,086282,1999,02,15.3,Y
IDCJAC0004,086282,1999,03,12.4,Y
IDCJAC0004,086282,1999,04,8.2,Y
IDCJAC0004,086282,1999,05,8.9,Y
IDCJAC0004,086282,1999,06,6.3,Y
IDCJAC0004,086282,1999,07,6.0,Y
IDCJAC0004,086282,1999,08,7.3,Y
IDCJAC0004,086282,1999,09,8.4,Y
IDCJAC0004,086282,1999,10,9.3,Y
IDCJAC0004,086282,1999,11,9.2,Y
IDCJAC0004,086282,1999,12,12.7,Y
IDCJAC0004,086282,2000,01,13.1,Y
IDCJAC0004,086282,2000,02,16.0,Y
IDCJAC0004,086282,2000,03,13.7,Y
IDCJAC0004,086282,2000,04,10.5,Y
IDCJAC0004,086282,2000,05,8.1,Y
IDCJAC0004,086282,2000,06,6.5,Y
IDCJAC0004,086282,2000,07,5.7,Y
IDCJAC0004,086282,2000,08,5.4,Y
IDCJAC0004,086282,2000,09,7.7,Y
IDCJAC0004,086282,2000,10,8.5,Y
IDCJAC0004,086282,2000,11,13.1,Y
IDCJAC0004,086282,2000,12,12.2,Y
IDCJAC0004,086282,2001,01,16.1,Y
IDCJAC0004,086282,2001,02,16.5,Y
IDCJAC0004,086282,2001,03,12.2,Y
IDCJAC0004,086282,2001,04,9.8,Y
IDCJAC0004,086282,2001,05,8.0,Y
IDCJAC0004,086282,2001,06,7.6,Y
IDCJAC0004,086282,2001,07,6.1,Y
IDCJAC0004,086282,2001,08,6.5,Y
IDCJAC0004,086282,2001,09,8.1,Y
IDCJAC0004,086282,2001,10,8.1,Y
IDCJAC0004,086282,2001,11,9.4,Y
IDCJAC0004,086282,2001,12,10.2,Y
IDCJAC0004,086282,2002,01,12.7,Y
IDCJAC0004,086282,2002,02,13.0,Y
IDCJAC0004,086282,2002,03,12.6,Y
IDCJAC0004,086282,2002,04,10.9,Y
IDCJAC0004,086282,2002,05,8.4,Y
IDCJAC0004,086282,2002,06,6.8,Y
IDCJAC0004,086282,2002,07,5.9,Y
IDCJAC0004,086282,2002,08,5.5,Y
IDCJAC0004,086282,2002,09,7.2,Y
IDCJAC0004,086282,2002,10,8.4,Y
IDCJAC0004,086282,2002,11,10.2,Y
IDCJAC0004,086282,2002,12,12.5,Y
IDCJAC0004,086282,2003,01,13.6,Y
IDCJAC0004,086282,2003,02,15.1,Y
IDCJAC0004,086282,2003,03,12.9,Y
IDCJAC0004,086282,2003,04,10.3,Y
IDCJAC0004,086282,2003,05,8.2,Y
IDCJAC0004,086282,2003,06,7.5,Y
IDCJAC0004,086282,2003,07,5.7,Y
IDCJAC0004,086282,2003,08,5.4,Y
IDCJAC0004,086282,2003,09,6.1,Y
IDCJAC0004,086282,2003,10,7.5,Y
IDCJAC0004,086282,2003,11,10.4,Y
IDCJAC0004,086282,2003,12,13.5,Y
IDCJAC0004,086282,2004,01,12.2,Y
IDCJAC0004,086282,2004,02,13.5,Y
IDCJAC0004,086282,2004,03,12.2,Y
IDCJAC0004,086282,2004,04,10.7,Y
IDCJAC0004,086282,2004,05,7.8,Y
IDCJAC0004,086282,2004,06,7.1,Y
IDCJAC0004,086282,2004,07,5.7,Y
IDCJAC0004,086282,2004,08,6.4,Y
IDCJAC0004,086282,2004,09,7.7,Y
IDCJAC0004,086282,2004,10,8.9,Y
IDCJAC0004,086282,2004,11,10.8,Y
IDCJAC0004,086282,2004,12,12.0,Y
IDCJAC0004,086282,2005,01,13.9,Y
IDCJAC0004,086282,2005,02,12.6,Y
IDCJAC0004,086282,2005,03,11.3,Y
IDCJAC0004,086282,2005,04,11.6,Y
IDCJAC0004,086282,2005,05,8.2,Y
IDCJAC0004,086282,2005,06,6.7,Y
IDCJAC0004,086282,2005,07,6.5,Y
IDCJAC0004,086282,2005,08,6.7,Y
IDCJAC0004,086282,2005,09,7.2,Y
IDCJAC0004,086282,2005,10,9.7,Y
IDCJAC0004,086282,2005,11,11.6,Y
IDCJAC0004,086282,2005,12,12.0,Y
IDCJAC0004,086282,2006,01,15.3,Y
IDCJAC0004,086282,2006,02,13.7,Y
IDCJAC0004,086282,2006,03,13.3,Y
IDCJAC0004,086282,2006,04,8.7,Y
IDCJAC0004,086282,2006,05,7.3,Y
IDCJAC0004,086282,2006,06,4.5,Y
IDCJAC0004,086282,2006,07,5.8,Y
IDCJAC0004,086282,2006,08,5.8,Y
IDCJAC0004,086282,2006,09,7.1,Y
IDCJAC0004,086282,2006,10,7.3,Y
IDCJAC0004,086282,2006,11,9.7,Y
IDCJAC0004,086282,2006,12,11.5,Y
IDCJAC0004,086282,2007,01,15.2,Y
IDCJAC0004,086282,2007,02,16.4,Y
IDCJAC0004,086282,2007,03,13.2,Y
IDCJAC0004,086282,2007,04,10.4,Y
IDCJAC0004,086282,2007,05,10.9,Y
IDCJAC0004,086282,2007,06,5.4,Y
IDCJAC0004,086282,2007,07,5.5,Y
IDCJAC0004,086282,2007,08,6.4,Y
IDCJAC0004,086282,2007,09,6.8,Y
IDCJAC0004,086282,2007,10,8.9,Y
IDCJAC0004,086282,2007,11,12.3,Y
IDCJAC0004,086282,2007,12,13.7,Y
IDCJAC0004,086282,2008,01,15.5,Y
IDCJAC0004,086282,2008,02,13.3,Y
IDCJAC0004,086282,2008,03,12.9,Y
IDCJAC0004,086282,2008,04,9.2,Y
IDCJAC0004,086282,2008,05,7.7,Y
IDCJAC0004,086282,2008,06,8.1,Y
IDCJAC0004,086282,2008,07,5.1,Y
IDCJAC0004,086282,2008,08,5.2,Y
IDCJAC0004,086282,2008,09,7.0,Y
IDCJAC0004,086282,2008,10,9.1,Y
IDCJAC0004,086282,2008,11,10.5,Y
IDCJAC0004,086282,2008,12,11.1,Y
IDCJAC0004,086282,2009,01,13.4,Y
IDCJAC0004,086282,2009,02,14.3,Y
IDCJAC0004,086282,2009,03,12.9,Y
IDCJAC0004,086282,2009,04,9.9,Y
IDCJAC0004,086282,2009,05,7.6,Y
IDCJAC0004,086282,2009,06,6.1,Y
IDCJAC0004,086282,2009,07,5.8,Y
IDCJAC0004,086282,2009,08,7.4,Y
IDCJAC0004,086282,2009,09,7.8,Y
IDCJAC0004,086282,2009,10,8.0,Y
IDCJAC0004,086282,2009,11,13.8,Y
IDCJAC0004,086282,2009,12,12.7,Y
IDCJAC0004,086282,2010,01,13.9,Y
IDCJAC0004,086282,2010,02,15.9,Y
IDCJAC0004,086282,2010,03,14.4,Y
IDCJAC0004,086282,2010,04,12.4,Y
IDCJAC0004,086282,2010,05,7.9,Y
IDCJAC0004,086282,2010,06,6.0,Y
IDCJAC0004,086282,2010,07,5.3,Y
IDCJAC0004,086282,2010,08,5.5,Y
IDCJAC0004,086282,2010,09,6.8,Y
IDCJAC0004,086282,2010,10,8.4,Y
IDCJAC0004,086282,2010,11,11.1,Y
IDCJAC0004,086282,2010,12,11.9,Y
IDCJAC0004,086282,2011,01,15.0,Y
IDCJAC0004,086282,2011,02,14.3,Y
IDCJAC0004,086282,2011,03,12.8,Y
IDCJAC0004,086282,2011,04,9.3,Y
IDCJAC0004,086282,2011,05,7.7,Y
IDCJAC0004,086282,2011,06,6.2,Y
IDCJAC0004,086282,2011,07,5.6,Y
IDCJAC0004,086282,2011,08,6.6,Y
IDCJAC0004,086282,2011,09,7.1,Y
IDCJAC0004,086282,2011,10,9.0,Y
IDCJAC0004,086282,2011,11,12.0,Y
IDCJAC0004,086282,2011,12,12.2,Y
IDCJAC0004,086282,2012,01,14.8,Y
IDCJAC0004,086282,2012,02,14.4,Y
IDCJAC0004,086282,2012,03,12.6,Y
IDCJAC0004,086282,2012,04,9.9,Y
IDCJAC0004,086282,2012,05,7.7,Y
IDCJAC0004,086282,2012,06,5.9,Y
IDCJAC0004,086282,2012,07,5.9,Y
IDCJAC0004,086282,2012,08,5.9,Y
IDCJAC0004,086282,2012,09,7.3,Y
IDCJAC0004,086282,2012,10,8.0,Y
IDCJAC0004,086282,2012,11,10.9,Y
IDCJAC0004,086282,2012,12,12.5,Y
IDCJAC0004,086282,2013,01,13.7,Y
IDCJAC0004,086282,2013,02,15.3,Y
IDCJAC0004,086282,2013,03,14.7,Y
IDCJAC0004,086282,2013,04,10.3,Y
IDCJAC0004,086282,2013,05,8.0,Y
IDCJAC0004,086282,2013,06,5.8,Y
IDCJAC0004,086282,2013,07,7.0,Y
IDCJAC0004,086282,2013,08,7.2,Y
IDCJAC0004,086282,2013,09,9.1,Y
IDCJAC0004,086282,2013,10,8.8,Y
IDCJAC0004,086282,2013,11,10.2,Y
IDCJAC0004,086282,2013,12,11.9,Y
IDCJAC0004,086282,2014,01,15.2,Y
IDCJAC0004,086282,2014,02,14.3,Y
IDCJAC0004,086282,2014,03,13.6,Y
IDCJAC0004,086282,2014,04,11.6,Y
IDCJAC0004,086282,2014,05,9.5,Y
IDCJAC0004,086282,2014,06,8.0,Y
IDCJAC0004,086282,2014,07,6.4,Y
IDCJAC0004,086282,2014,08,5.8,Y
IDCJAC0004,086282,2014,09,7.4,Y
IDCJAC0004,086282,2014,10,9.1,Y
IDCJAC0004,086282,2014,11,10.6,Y
IDCJAC0004,086282,2014,12,12.8,Y
IDCJAC0004,086282,2015,01,14.0,Y
IDCJAC0004,086282,2015,02,15.5,Y
IDCJAC0004,086282,2015,03,11.1,Y
IDCJAC0004,086282,2015,04,8.9,Y
IDCJAC0004,086282,2015,05,8.2,Y
IDCJAC0004,086282,2015,06,5.7,Y
IDCJAC0004,086282,2015,07,5.1,Y
IDCJAC0004,086282,2015,08,6.3,Y
IDCJAC0004,086282,2015,09,6.8,Y
IDCJAC0004,086282,2015,10,10.7,Y
IDCJAC0004,086282,2015,11,11.1,Y
IDCJAC0004,086282,2015,12,13.2,Y
IDCJAC0004,086282,2016,01,15.4,Y
IDCJAC0004,086282,2016,02,14.9,Y
IDCJAC0004,086282,2016,03,14.3,Y
IDCJAC0004,086282,2016,04,11.9,Y
IDCJAC0004,086282,2016,05,9.7,Y
IDCJAC0004,086282,2016,06,6.5,Y
IDCJAC0004,086282,2016,07,6.8,Y
IDCJAC0004,086282,2016,08,6.4,Y
IDCJAC0004,086282,2016,09,8.2,Y
IDCJAC0004,086282,2016,10,7.9,Y
IDCJAC0004,086282,2016,11,9.6,Y
IDCJAC0004,086282,2016,12,12.7,Y
IDCJAC0004,086282,2017,01,14.7,Y
IDCJAC0004,086282,2017,02,12.9,Y
IDCJAC0004,086282,2017,03,14.4,Y
IDCJAC0004,086282,2017,04,10.9,Y
IDCJAC0004,086282,2017,05,7.5,Y
IDCJAC0004,086282,2017,06,5.4,Y
IDCJAC0004,086282,2017,07,4.8,Y
IDCJAC0004,086282,2017,08,5.4,Y
IDCJAC0004,086282,2017,09,7.0,Y
IDCJAC0004,086282,2017,10,8.9,Y
IDCJAC0004,086282,2017,11,12.8,Y
IDCJAC0004,086282,2017,12,13.3,Y
IDCJAC0004,086282,2018,01,15.5,Y
IDCJAC0004,086282,2018,02,14.5,Y
IDCJAC0004,086282,2018,03,12.8,Y
IDCJAC0004,086282,2018,04,10.3,Y
IDCJAC0004,086282,2018,05,8.9,Y
IDCJAC0004,086282,2018,06,5.3,Y
IDCJAC0004,086282,2018,07,5.9,Y
IDCJAC0004,086282,2018,08,5.0,Y
IDCJAC0004,086282,2018,09,5.7,Y
IDCJAC0004,086282,2018,10,9.0,Y
IDCJAC0004,086282,2018,11,10.8,Y
IDCJAC0004,086282,2018,12,14.3,Y
IDCJAC0004,086282,2019,01,15.5,Y
IDCJAC0004,086282,2019,02,14.0,Y
IDCJAC0004,086282,2019,03,14.0,Y
IDCJAC0004,086282,2019,04,10.4,Y
IDCJAC0004,086282,2019,05,8.9,Y
IDCJAC0004,086282,2019,06,7.0,Y
IDCJAC0004,086282,2019,07,6.4,Y
IDCJAC0004,086282,2019,08,5.5,Y
IDCJAC0004,086282,2019,09,6.8,Y
IDCJAC0004,086282,2019,10,8.5,Y
IDCJAC0004,086282,2019,11,9.3,Y
IDCJAC0004,086282,2019,12,12.4,Y
IDCJAC0004,086282,2020,01,13.7,Y
IDCJAC0004,086282,2020,02,14.4,Y
IDCJAC0004,086282,2020,03,12.2,Y
IDCJAC0004,086282,2020,04,9.9,Y
IDCJAC0004,086282,2020,05,7.1,Y
IDCJAC0004,086282,2020,06,5.6,Y
IDCJAC0004,086282,2020,07,5.5,Y
IDCJAC0004,086282,2020,08,5.9,Y
IDCJAC0004,086282,2020,09,8.1,Y
IDCJAC0004,086282,2020,10,9.0,Y
IDCJAC0004,086282,2020,11,11.9,Y
IDCJAC0004,086282,2020,12,11.2,Y
IDCJAC0004,086282,2021,01,13.7,Y
IDCJAC0004,086282,2021,02,13.0,Y
IDCJAC0004,086282,2021,03,12.0,Y
IDCJAC0004,086282,2021,04,10.0,Y
IDCJAC0004,086282,2021,05,7.3,Y
IDCJAC0004,086282,2021,06,6.4,Y
IDCJAC0004,086282,2021,07,5.4,Y
IDCJAC0004,086282,2021,08,6.4,Y
IDCJAC0004,086282,2021,09,7.3,Y
IDCJAC0004,086282,2021,10,8.1,Y
IDCJAC0004,086282,2021,11,10.0,Y
IDCJAC0004,086282,2021,12,11.7,Y
IDCJAC0004,086282,2022,01,16.4,Y
IDCJAC0004,086282,2022,02,13.8,Y
IDCJAC0004,086282,2022,03,14.1,Y
IDCJAC0004,086282,2022,04,11.1,Y
IDCJAC0004,086282,2022,05,7.8,Y
IDCJAC0004,086282,2022,06,6.5,Y
IDCJAC0004,086282,2022,07,4.4,Y
IDCJAC0004,086282,2022,08,6.8,Y
IDCJAC0004,086282,2022,09,7.1,Y
IDCJAC0004,086282,2022,10,9.1,Y
IDCJAC0004,086282,2022,11,9.7,Y
IDCJAC0004,086282,2022,12,11.6,Y
IDCJAC0004,086282,2023,01,15.0,Y
IDCJAC0004,086282,2023,02,13.7,Y
IDCJAC0004,086282,2023,03,12.9,Y
IDCJAC0004,086282,2023,04,10.4,Y
IDCJAC0004,086282,2023,05,7.4,Y
IDCJAC0004,086282,2023,06,7.3,Y
IDCJAC0004,086282,2023,07,7.0,Y
IDCJAC0004,086282,2023,08,6.5,Y
IDCJAC0004,086282,2023,09,7.8,Y
IDCJAC0004,086282,2023,10,8.7,Y
IDCJAC0004,086282,2023,11,12.4,Y
IDCJAC0004,086282,2023,12,13.1,Y
IDCJAC0004,086282,2024,01,14.8,Y
IDCJAC0004,086282,2024,02,14.1,Y
IDCJAC0004,086282,2024,03,13.2,Y
IDCJAC0004,086282,2024,04,9.7,Y
IDCJAC0004,086282,2024,05,7.6,Y
IDCJAC0004,086282,2024,06,5.4,Y
IDCJAC0004,086282,2024,07,5.5,Y
IDCJAC0004,086282,2024,08,7.9,Y
IDCJAC0004,086282,2024,09,8.0,Y
IDCJAC0004,086282,2024,10,9.3,Y
IDCJAC0004,086282,2024,11,12.2,Y
